num_arms,n_arm,d1,d2,period_blocks,mu0,sigma,theta1,theta2,lambda0,lambda1,lambda2,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
2,3000,0,2000,2,0,1,0.25,0,-0.15,-0.15,-0.15,linear,0.1,EQ,H0,2,fixmodel,0.10029
2,3000,0,2000,2,0,1,0.25,0,-0.15,-0.15,-0.15,linear,0.1,EQ,H0,2,mixmodel,0.08011
2,3000,0,2000,2,0,1,0.25,0,-0.15,-0.15,-0.15,linear,0.1,EQ,H0,2,poolmodel,0.01734
2,3000,0,2000,2,0,1,0.25,0,-0.15,-0.15,-0.15,linear,0.1,EQ,H0,2,sepmodel,0.10068
2,3000,0,2000,2,0,1,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.1,EQ,H0,2,fixmodel,0.10233
2,3000,0,2000,2,0,1,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.1,EQ,H0,2,mixmodel,0.07684
2,3000,0,2000,2,0,1,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.1,EQ,H0,2,poolmodel,0.0291
2,3000,0,2000,2,0,1,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.1,EQ,H0,2,sepmodel,0.10185
2,3000,0,2000,2,0,1,0.25,0,-0.075,-0.075,-0.075,linear,0.1,EQ,H0,2,fixmodel,0.10075
2,3000,0,2000,2,0,1,0.25,0,-0.075,-0.075,-0.075,linear,0.1,EQ,H0,2,mixmodel,0.07319
2,3000,0,2000,2,0,1,0.25,0,-0.075,-0.075,-0.075,linear,0.1,EQ,H0,2,poolmodel,0.04573
2,3000,0,2000,2,0,1,0.25,0,-0.075,-0.075,-0.075,linear,0.1,EQ,H0,2,sepmodel,0.10114
2,3000,0,2000,2,0,1,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.1,EQ,H0,2,fixmodel,0.09966
2,3000,0,2000,2,0,1,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.1,EQ,H0,2,mixmodel,0.07883
2,3000,0,2000,2,0,1,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.1,EQ,H0,2,poolmodel,0.06779
2,3000,0,2000,2,0,1,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.1,EQ,H0,2,sepmodel,0.0993
2,3000,0,2000,2,0,1,0.25,0,0,0,0,linear,0.1,EQ,H0,2,fixmodel,0.10122
2,3000,0,2000,2,0,1,0.25,0,0,0,0,linear,0.1,EQ,H0,2,mixmodel,0.10128
2,3000,0,2000,2,0,1,0.25,0,0,0,0,linear,0.1,EQ,H0,2,poolmodel,0.1012
2,3000,0,2000,2,0,1,0.25,0,0,0,0,linear,0.1,EQ,H0,2,sepmodel,0.10087
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.1,EQ,H0,2,fixmodel,0.09992
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.1,EQ,H0,2,mixmodel,0.12691
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.1,EQ,H0,2,poolmodel,0.14114
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.1,EQ,H0,2,sepmodel,0.09979
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.1,EQ,H0,2,fixmodel,0.10009
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.1,EQ,H0,2,mixmodel,0.14354
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.1,EQ,H0,2,poolmodel,0.19327
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.1,EQ,H0,2,sepmodel,0.10055
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.1,EQ,H0,2,fixmodel,0.09914
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.1,EQ,H0,2,mixmodel,0.14208
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.1,EQ,H0,2,poolmodel,0.25352
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.1,EQ,H0,2,sepmodel,0.09993
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,linear,0.1,EQ,H0,2,fixmodel,0.0985
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,linear,0.1,EQ,H0,2,mixmodel,0.13088
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,linear,0.1,EQ,H0,2,poolmodel,0.32376
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,linear,0.1,EQ,H0,2,sepmodel,0.09839
2,3000,0,2000,2,0,1,0.25,0,-0.15,-0.15,-0.15,stepwise,0.1,EQ,H0,2,fixmodel,0.10068
2,3000,0,2000,2,0,1,0.25,0,-0.15,-0.15,-0.15,stepwise,0.1,EQ,H0,2,mixmodel,0.09194
2,3000,0,2000,2,0,1,0.25,0,-0.15,-0.15,-0.15,stepwise,0.1,EQ,H0,2,poolmodel,4.3e-4
2,3000,0,2000,2,0,1,0.25,0,-0.15,-0.15,-0.15,stepwise,0.1,EQ,H0,2,sepmodel,0.10036
2,3000,0,2000,2,0,1,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.1,EQ,H0,2,fixmodel,0.09977
2,3000,0,2000,2,0,1,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.1,EQ,H0,2,mixmodel,0.08853
2,3000,0,2000,2,0,1,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.1,EQ,H0,2,poolmodel,0.00205
2,3000,0,2000,2,0,1,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.1,EQ,H0,2,sepmodel,0.09953
2,3000,0,2000,2,0,1,0.25,0,-0.075,-0.075,-0.075,stepwise,0.1,EQ,H0,2,fixmodel,0.09953
2,3000,0,2000,2,0,1,0.25,0,-0.075,-0.075,-0.075,stepwise,0.1,EQ,H0,2,mixmodel,0.08306
2,3000,0,2000,2,0,1,0.25,0,-0.075,-0.075,-0.075,stepwise,0.1,EQ,H0,2,poolmodel,0.01053
2,3000,0,2000,2,0,1,0.25,0,-0.075,-0.075,-0.075,stepwise,0.1,EQ,H0,2,sepmodel,0.09974
2,3000,0,2000,2,0,1,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.1,EQ,H0,2,fixmodel,0.09905
2,3000,0,2000,2,0,1,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.1,EQ,H0,2,mixmodel,0.07225
2,3000,0,2000,2,0,1,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.1,EQ,H0,2,poolmodel,0.03502
2,3000,0,2000,2,0,1,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.1,EQ,H0,2,sepmodel,0.09958
2,3000,0,2000,2,0,1,0.25,0,0,0,0,stepwise,0.1,EQ,H0,2,fixmodel,0.10084
2,3000,0,2000,2,0,1,0.25,0,0,0,0,stepwise,0.1,EQ,H0,2,mixmodel,0.10066
2,3000,0,2000,2,0,1,0.25,0,0,0,0,stepwise,0.1,EQ,H0,2,poolmodel,0.09989
2,3000,0,2000,2,0,1,0.25,0,0,0,0,stepwise,0.1,EQ,H0,2,sepmodel,0.10053
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.1,EQ,H0,2,fixmodel,0.09909
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.1,EQ,H0,2,mixmodel,0.1438
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.1,EQ,H0,2,poolmodel,0.22105
2,3000,0,2000,2,0,1,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.1,EQ,H0,2,sepmodel,0.09912
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.1,EQ,H0,2,fixmodel,0.10115
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.1,EQ,H0,2,mixmodel,0.12534
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.1,EQ,H0,2,poolmodel,0.40342
2,3000,0,2000,2,0,1,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.1,EQ,H0,2,sepmodel,0.10127
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,stepwise,0.1,EQ,H0,2,fixmodel,0.09942
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,stepwise,0.1,EQ,H0,2,mixmodel,0.11346
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,stepwise,0.1,EQ,H0,2,poolmodel,0.60542
2,3000,0,2000,2,0,1,0.25,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,stepwise,0.1,EQ,H0,2,sepmodel,0.09979
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,stepwise,0.1,EQ,H0,2,fixmodel,0.09837
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,stepwise,0.1,EQ,H0,2,mixmodel,0.10848
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,stepwise,0.1,EQ,H0,2,poolmodel,0.78483
2,3000,0,2000,2,0,1,0.25,0,0.15,0.15,0.15,stepwise,0.1,EQ,H0,2,sepmodel,0.09824
