num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,fixmodel,0.0245
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,fixmodel_cal,0.0245
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,mixmodel,0.0171
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,mixmodel_cal,0.0033
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,sepmodel,0.0253
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,fixmodel,0.0273
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,fixmodel_cal,0.0274
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,mixmodel,0.0163
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,mixmodel_cal,0
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,sepmodel,0.0274
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,fixmodel,0.0269
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,fixmodel_cal,0.0269
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,mixmodel,0.0173
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,mixmodel_cal,0.0056
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,sepmodel,0.0264
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,fixmodel,0.0245
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,fixmodel_cal,0.0244
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,mixmodel,0.0114
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,mixmodel_cal,5e-4
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,sepmodel,0.0241
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,fixmodel,0.024
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,fixmodel_cal,0.024
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,mixmodel,0.0143
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,mixmodel_cal,0.0092
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,sepmodel,0.0257
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,fixmodel,0.0255
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,fixmodel_cal,0.0256
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,mixmodel,0.0113
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,mixmodel_cal,0.0023
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,sepmodel,0.0259
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,fixmodel,0.0239
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,fixmodel_cal,0.0239
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,mixmodel,0.0183
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,mixmodel_cal,0.0151
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,sepmodel,0.0243
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,3,fixmodel,0.0213
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,3,fixmodel_cal,0.0213
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,3,mixmodel,0.011
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,3,mixmodel_cal,0.0068
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,3,sepmodel,0.0207
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,2,fixmodel,0.0255
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,2,fixmodel_cal,0.0255
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,2,mixmodel,0.0255
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,2,mixmodel_cal,0.024
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,2,sepmodel,0.0263
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,3,fixmodel,0.0242
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,3,fixmodel_cal,0.0242
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,3,mixmodel,0.0265
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,3,mixmodel_cal,0.0262
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,linear,0.025,EQ,H0,3,sepmodel,0.0237
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,2,fixmodel,0.023
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,2,fixmodel_cal,0.023
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,2,mixmodel,0.0348
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,2,mixmodel_cal,0.037
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,2,sepmodel,0.023
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,3,fixmodel,0.0263
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,3,fixmodel_cal,0.0261
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,3,mixmodel,0.0533
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,3,mixmodel_cal,0.0638
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,3,sepmodel,0.027
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,2,fixmodel,0.0238
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,2,fixmodel_cal,0.0235
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,2,mixmodel,0.0431
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,2,mixmodel_cal,0.0577
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,2,sepmodel,0.0225
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,3,fixmodel,0.0252
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,3,fixmodel_cal,0.0249
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,3,mixmodel,0.085
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,3,mixmodel_cal,0.138
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,3,sepmodel,0.0269
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,2,fixmodel,0.0256
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,2,fixmodel_cal,0.0256
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,2,mixmodel,0.0497
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,2,mixmodel_cal,0.0847
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,2,sepmodel,0.0254
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,3,fixmodel,0.024
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,3,fixmodel_cal,0.024
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,3,mixmodel,0.078
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,3,mixmodel_cal,0.2417
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,0.025,EQ,H0,3,sepmodel,0.0241
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,2,fixmodel,0.0235
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,2,fixmodel_cal,0.0231
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,2,mixmodel,0.0449
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,2,mixmodel_cal,0.1058
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,2,sepmodel,0.0223
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,3,fixmodel,0.0255
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,3,fixmodel_cal,0.0255
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,3,mixmodel,0.0687
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,3,mixmodel_cal,0.3586
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.15,0.15,0.15,0.15,linear,0.025,EQ,H0,3,sepmodel,0.0262
