num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8508
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.8535
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.9479
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8258
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8638
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.867
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9868
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8303
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8711
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.8717
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9953
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8333
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8554
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.871
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.9516
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8272
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8587
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.8854
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9846
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8251
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.865
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.8699
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9962
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8246
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8508
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.9039
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.9506
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8259
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8614
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.8947
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.98740000000000006
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.829
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8662
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.8853
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9954
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8302
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8545
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.9225
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.9533
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8273
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8631
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.8954
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.987
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8308
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8673
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.9147
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9957
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8278
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8554
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.9187
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.9517
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8284
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8567
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.9376
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.987
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8296
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8658
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.913
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9953
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8295
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.856
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.9304
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.952
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8278
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8598
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.9538
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9864
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8287
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.863
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.9399
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9955
4,1000,0,1000,2000,3000,3440,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8251
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.854
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.94
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.9482
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8313
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8627
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.968
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9862
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8255
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.871
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.9641
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9957
4,1000,0,1000,2000,3000,4108,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8317
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8565
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.9467
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.9498
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8306
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8639
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.9787
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.985
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8313
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8661
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.9782
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9962
4,1000,0,1000,2000,3000,4776,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8289
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8613
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.9311
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.955
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8364
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8681
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.9862
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9872
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8323
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8659
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.9892
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9959
4,1000,0,1000,2000,3000,5444,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.8246
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8554
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.895
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.949
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8292
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8564
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.978
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9864
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8267
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8665
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.9945
4,1000,0,1000,2000,3000,6112,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9945
