num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,smoothing_basis,basis_dim,gam_method,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.845,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.828,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.846,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.845,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.835,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.841,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.844,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.861,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.857,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.823,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.832,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.807,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.817,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.834,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.826,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.838,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.847,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.836,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.85,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.842,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.847,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.832,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.852,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.827,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.831,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.826,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.834,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.845,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.849,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.818,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.842,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.831,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.849,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.821,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.835,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.851,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.844,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.847,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.828,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.836,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.827,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.832,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.857,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.839,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.832,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.843,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.844,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.856,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.845,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.85,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.836,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.837,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.852,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.856,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.832,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.835,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.837,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.846,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.851,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.125,-0.125,-0.125,-0.125,-0.125,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.853,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.826,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.848,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.842,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.833,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.849,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.841,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.83,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.823,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.858,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.869,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.87,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.895,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.838,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.871,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.833,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.843,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.845,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.855,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.843,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.836,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.84,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.834,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.85,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.856,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.861,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.896,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.906,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.85,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.84,0,1000
