num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,smoothing_basis,basis_dim,gam_method,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.844,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.839,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.823,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.851,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.854,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.855,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.835,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.842,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.844,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.823,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.882,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.907,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.877,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.833,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.849,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.832,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.842,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.843,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.838,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.843,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.835,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.85,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.838,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.841,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.855,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.882,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.894,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.872,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.845,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.838,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.851,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.829,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.822,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.831,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.853,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.848,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.864,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.838,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.848,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.859,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.856,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.878,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.875,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.846,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.851,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,linear,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.831,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.753,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.755,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.697,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.76,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.759,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.757,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.751,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.74,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.73,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.649,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.387,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.574,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.756,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.724,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,stepwise_2,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.734,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.782,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.777,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.776,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.757,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.763,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.762,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.78,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.773,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.741,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.683,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.513,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.619,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.79,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.768,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,stepwise_2,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,4,gam,0.773,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,2,gam,0.803,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,3,gam,0.784,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,tp,-1,GCV.Cp,EQ,H1,4,gam,0.766,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,2,gam,0.762,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,3,gam,0.768,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,cr,-1,GCV.Cp,EQ,H1,4,gam,0.776,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,2,gam,0.779,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,3,gam,0.803,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,ps,-1,GCV.Cp,EQ,H1,4,gam,0.756,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,2,gam,0.761,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,3,gam,0.651,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,re,-1,GCV.Cp,EQ,H1,4,gam,0.705,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,2,gam,0.781,0,1000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,stepwise_2,0.025,FALSE,gp,-1,GCV.Cp,EQ,H1,3,gam,0.805,0,1000
